2,0,1000,1,GDOP, 1246190400.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
0,4162683.1460,664344.7750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344228,0.15826066466,0.0003,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162683.1460,664344.7750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344228,0.15826066466,0.0003,2.359
1000,4162681.5700,664354.6500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344228,0.15826303693,0.0003,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162681.5700,664354.6500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344228,0.15826303693,0.0003,2.359
2000,4162679.9940,664364.5250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344228,0.15826540920,0.0004,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162679.9940,664364.5250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344228,0.15826540920,0.0004,2.359
3000,4162678.4180,664374.4000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344227,0.15826778147,0.0004,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162678.4180,664374.4000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344227,0.15826778147,0.0004,2.359
4000,4162676.8420,664384.2750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344226,0.15827015373,0.0005,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162676.8420,664384.2750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344226,0.15827015373,0.0005,2.359
5000,4162675.2660,664394.1500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344225,0.15827252600,0.0005,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162675.2660,664394.1500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344225,0.15827252600,0.0005,2.359
6000,4162673.6900,664404.0250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344223,0.15827489827,0.0006,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162673.6900,664404.0250,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344223,0.15827489827,0.0006,2.360
7000,4162672.1140,664413.9000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344221,0.15827727054,0.0007,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162672.1140,664413.9000,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344221,0.15827727054,0.0007,2.360
8000,4162670.5380,664423.7750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344219,0.15827964280,0.0009,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162670.5380,664423.7750,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344219,0.15827964280,0.0009,2.360
9000,4162668.9620,664433.6500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043344217,0.15828201507,0.0010,1.729000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162668.9620,664433.6500,4770531.3520,-1.5760,9.8750,0.0000,0.000,0.000,0.000,0.85043344217,0.15828201507,0.0010,2.360
