Build,GPS Time,Interval ms,Channels,SIR ms,Header rows,N_freqs
4,1246190400.0,1000,76,100,5,5
Group A,Group B,Group C,Group D,Group E
L1/E1/S/B1I,L2/E6/B2I,L5/E5/B2A,L6/B1C,B3I
Time_ms,Channel,Sat_type,Sat_ID,Sat_PRN,Echo_Num,Sat_Pos_X,Sat_Pos_Y,Sat_Pos_Z,Sat_Vel_X,Sat_Vel_Y,Sat_Vel_Z,Azimuth,Elevation,Range,P-Range Group A,P-Range Group B,P-Range Group C,P-Range Group D,P-Range Group E,P-R_rate,Iono_delay Group A,Iono_delay Group B,Iono_delay Group C,Iono_delay Group D,Iono_delay Group E,Tropo_delay,P-R_Error,Signal_dB Group A,Signal_dB Group B,Signal_dB Group C,Signal_dB Group D,Signal_dB Group E,Ant_azimuth,Ant_elevation,Range_rate,P-R_Error_rate,Doppler_shift Group A,Doppler_shift Group B,Doppler_shift Group C,Doppler_shift Group D,Doppler_shift Group E,Delta_range Group A,Delta_range Group B,Delta_range Group C,Delta_range Group D,Delta_range Group E,Sat_Acc_X,Sat_Acc_Y,Sat_Acc_Z
1000,1,GPS,7,7,0,-9128781.4662,-12568278.7090,21831785.6685,2357.704,-1332.945,173.486,-0.4505,0.1102,25354525.7126,25371577.4709,0.0000,0.0000,0.0000,0.0000,-419.2385,1.46982e-08,0,0,0,0,6.94379e-08,0.0000,10.146,0.000,0.000,0.000,0.000,-2.1795,0.1102,-419.2294,0.0000,2203.1129,0.0000,0.0000,0.0000,0.0000,-419.2716,0.0000,0.0000,0.0000,0.0000,-0.053825,-0.150301,-0.452377
1000,2,GPS,7,7,1,-9128781.4662,-12568278.7090,21831785.6685,2357.704,-1332.945,173.486,-0.4505,0.1102,25354525.7126,25371577.4709,0.0000,0.0000,0.0000,0.0000,-419.2385,1.46982e-08,0,0,0,0,6.94379e-08,0.0000,-99.900,0.000,0.000,0.000,0.000,-2.1795,0.1102,-419.2294,0.0000,2203.1129,0.0000,0.0000,0.0000,0.0000,-419.2716,0.0000,0.0000,0.0000,0.0000,-0.053825,-0.150301,-0.452377
1000,3,GPS,10,10,0,24094979.7453,10897427.3624,-3396208.5945,255.001,435.979,3129.446,2.8269,0.3381,23847597.9721,23848712.7565,0.0000,0.0000,0.0000,0.0000,-674.4030,1.75511e-08,0,0,0,0,2.46742e-08,0.0000,10.678,0.000,0.000,0.000,0.000,1.0979,0.3381,-674.4028,0.0000,3544.0116,0.0000,0.0000,0.0000,0.0000,-674.4117,0.0000,0.0000,0.0000,0.0000,-0.315076,-0.208448,0.071456
1000,4,GPS,10,10,1,24094979.7453,10897427.3624,-3396208.5945,255.001,435.979,3129.446,-2.8269,0.3381,23847597.9721,23848732.9128,0.0000,0.0000,0.0000,0.0000,-674.4043,1.75511e-08,0,0,0,0,2.46742e-08,0.0000,-99.900,0.000,0.000,0.000,0.000,1.0979,0.3381,-674.4028,0.0000,3544.0184,0.0000,0.0000,0.0000,0.0000,-674.4130,0.0000,0.0000,0.0000,0.0000,-0.315076,-0.208448,0.071456
1000,5,GPS,21,21,0,13938839.3383,9154402.5806,21441430.2497,-2077.347,1478.075,764.105,1.1905,1.2141,21108601.2003,21157067.9648,0.0000,0.0000,0.0000,0.0000,232.6183,6.54875e-09,0,0,0,0,8.82389e-09,0.0000,11.738,0.000,0.000,0.000,0.000,-0.5385,1.2141,232.6225,0.0000,-1222.4174,0.0000,0.0000,0.0000,0.0000,232.5838,0.0000,0.0000,0.0000,0.0000,0.012517,0.169616,-0.426433
1000,6,GPS,21,21,1,13938839.3383,9154402.5806,21441430.2497,-2077.347,1478.075,764.105,1.1905,1.2141,21108601.2003,21157067.9648,0.0000,0.0000,0.0000,0.0000,232.6183,6.54875e-09,0,0,0,0,8.82389e-09,0.0000,-99.900,0.000,0.000,0.000,0.000,-0.5385,1.2141,232.6225,0.0000,-1222.4174,0.0000,0.0000,0.0000,0.0000,232.5838,0.0000,0.0000,0.0000,0.0000,0.012517,0.169616,-0.426433
1000,7,GPS,29,29,0,4428042.7021,24634103.3703,8834553.9023,-253.634,1111.599,-2961.143,1.5858,0.2375,24313279.2838,24265040.1344,0.0000,0.0000,0.0000,0.0000,588.4509,1.77081e-08,0,0,0,0,3.44425e-08,0.0000,10.510,0.000,0.000,0.000,0.000,-0.1432,0.2375,588.4428,0.0000,-3092.3302,0.0000,0.0000,0.0000,0.0000,588.4376,0.0000,0.0000,0.0000,0.0000,0.091267,-0.357158,-0.188375
1000,8,GPS,29,29,1,4428042.7021,24634103.3703,8834553.9023,-253.634,1111.599,-2961.143,1.5858,0.2375,24313279.2838,24265040.1344,0.0000,0.0000,0.0000,0.0000,588.4509,1.77081e-08,0,0,0,0,3.44425e-08,0.0000,-99.900,0.000,0.000,0.000,0.000,-0.1432,0.2375,588.4428,0.0000,-3092.3302,0.0000,0.0000,0.0000,0.0000,588.4376,0.0000,0.0000,0.0000,0.0000,0.091267,-0.357158,-0.188375
1000,9,GPS,27,27,0,12073914.1741,-14884396.5015,18141437.5148,168.751,2331.937,1818.845,-1.2899,0.6663,21980272.8669,22032610.5155,0.0000,0.0000,0.0000,0.0000,-474.8806,8.62008e-09,0,0,0,0,1.33477e-08,0.0000,11.386,0.000,0.000,0.000,0.000,-3.0189,0.6663,-474.8836,0.0000,2495.5146,0.0000,0.0000,0.0000,0.0000,-474.9017,0.0000,0.0000,0.0000,0.0000,0.142480,0.219011,-0.393475
1000,10,GPS,27,27,1,12073914.1741,-14884396.5015,18141437.5148,168.751,2331.937,1818.845,-1.2899,0.6663,21980272.8669,22032610.5155,0.0000,0.0000,0.0000,0.0000,-474.8806,8.62008e-09,0,0,0,0,1.33477e-08,0.0000,-99.900,0.000,0.000,0.000,0.000,-3.0189,0.6663,-474.8836,0.0000,2495.5146,0.0000,0.0000,0.0000,0.0000,-474.9017,0.0000,0.0000,0.0000,0.0000,0.142480,0.219011,-0.393475
