2,0,100,1,GDOP, 1246190400.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
0,4162685.5481338953,664338.0690503363,4770530.1971474634,0.0000,0.0000,0.0000,-0.000,-0.000,-0.000,-30.293,-4.835,26.925,0.85043316758,0.15825900390,-0.0000000009,0.0000000000,0.0000000000,0.0000000000,0.000000,0.000000,0.000000,-0.0000,-0.0000,-0.0000,4162685.5481,664338.0691,4770530.1971,0.0000,0.0000,0.0000,-0.000,-0.000,-0.000,0.85043316758,0.15825900390,-0.0000,2.359
100,4162685.5430850922,664338.0682445795,4770530.2016349304,-0.1515,-0.0242,0.1346,-3.029,-0.483,2.692,-0.000,-0.000,0.000,0.85043316864,0.15825900390,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.000000,-0.000000,0.000000,0.0000,-0.0000,0.0000,4162685.5431,664338.0682,4770530.2016,-0.1515,-0.0242,0.1346,-3.029,-0.483,2.692,0.85043316864,0.15825900390,0.0000,2.359
200,4162685.5127922753,664338.0634100391,4770530.2285597324,-0.4544,-0.0725,0.4039,-3.029,-0.483,2.692,0.000,0.000,-0.000,0.85043317505,0.15825900390,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.000000,-0.000000,0.000000,0.0000,-0.0000,0.0000,4162685.5128,664338.0634,4770530.2286,-0.4544,-0.0725,0.4039,-3.029,-0.483,2.692,0.85043317505,0.15825900390,0.0000,2.359
300,4162685.4522066405,664338.0537409581,4770530.2824093364,-0.7573,-0.1209,0.6731,-3.029,-0.483,2.692,-0.000,-0.000,-0.000,0.85043318786,0.15825900390,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.000000,-0.000000,0.000000,-0.0000,-0.0000,-0.0000,4162685.4522,664338.0537,4770530.2824,-0.7573,-0.1209,0.6731,-3.029,-0.483,2.692,0.85043318786,0.15825900390,0.0000,2.359
400,4162685.3613281874,664338.0392373365,4770530.3631837405,-1.0602,-0.1692,0.9424,-3.029,-0.483,2.692,-0.000,-0.000,-0.000,0.85043320708,0.15825900390,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.000000,-0.000000,0.000000,-0.0000,-0.0000,0.0000,4162685.3613,664338.0392,4770530.3632,-1.0602,-0.1692,0.9424,-3.029,-0.483,2.692,0.85043320708,0.15825900390,0.0000,2.359
500,4162685.2401569141,664338.0198991740,4770530.4708829429,-1.3632,-0.2176,1.2116,-3.029,-0.483,2.692,-0.000,-0.000,-0.000,0.85043323270,0.15825900390,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.000000,-0.000000,0.000000,0.0000,-0.0000,0.0000,4162685.2402,664338.0199,4770530.4709,-1.3632,-0.2176,1.2116,-3.029,-0.483,2.692,0.85043323270,0.15825900390,0.0000,2.359
600,4162685.0886928188,664337.9957264703,4770530.6055069417,-1.6661,-0.2659,1.4809,-3.029,-0.483,2.692,-0.000,-0.000,-0.000,0.85043326473,0.15825900390,0.0000000009,0.0000000000,0.0000000000,0.0000000000,0.000000,-0.000000,0.000000,-0.0000,-0.0000,0.0000,4162685.0887,664337.9957,4770530.6055,-1.6661,-0.2659,1.4809,-3.029,-0.483,2.692,0.85043326473,0.15825900390,0.0000,2.359
700,4162684.9069358986,664337.9667192248,4770530.7670557331,-1.9690,-0.3142,1.7501,-3.029,-0.483,2.692,-0.000,-0.000,-0.000,0.85043330317,0.15825900390,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.000000,-0.000000,0.000000,-0.0000,-0.0000,0.0000,4162684.9069,664337.9667,4770530.7671,-1.9690,-0.3142,1.7501,-3.029,-0.483,2.692,0.85043330317,0.15825900390,0.0000,2.359
800,4162684.6948861508,664337.9328774372,4770530.9555293145,-2.2720,-0.3626,2.0194,-3.029,-0.483,2.692,-0.000,-0.000,-0.000,0.85043334801,0.15825900390,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.000000,-0.000000,0.000000,0.0000,-0.0000,0.0000,4162684.6949,664337.9329,4770530.9555,-2.2720,-0.3626,2.0194,-3.029,-0.483,2.692,0.85043334801,0.15825900390,0.0000,2.359
900,4162684.4525435716,664337.8942011070,4770531.1709276810,-2.5749,-0.4109,2.2886,-3.029,-0.483,2.692,-0.000,-0.000,-0.000,0.85043339926,0.15825900390,0.0000000000,-0.0000000000,0.0000000000,0.0000000000,-0.000000,-0.000001,0.000000,0.0000,-0.0000,0.0000,4162684.4525,664337.8942,4770531.1709,-2.5749,-0.4109,2.2886,-3.029,-0.483,2.692,0.85043339926,0.15825900390,0.0000,2.359
