2,0,1000,1,GDOP, 1246190400.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
0,4162685.5480,664338.0690,4770530.1970,0.0000,0.0000,0.0000,0.000,0.000,0.000,-0.004,0.025,0.000,0.85043316758,0.15825900389,-0.0002,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162685.5480,664338.0690,4770530.1970,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.85043316758,0.15825900389,-0.0002,2.359
1000,4162685.5480,664338.0700,4770530.1970,0.0000,0.0000,0.0000,-0.001,-0.001,0.001,-0.015,0.001,0.013,0.85043316756,0.15825900413,-0.0001,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162685.5480,664338.0700,4770530.1970,0.0000,0.0000,0.0000,-0.001,-0.001,0.001,0.85043316756,0.15825900413,-0.0001,2.359
2000,4162685.5180,664338.2580,4770530.1970,-0.1300,0.8150,0.0000,-0.346,2.169,0.000,-0.217,1.357,0.000,0.85043316756,0.15825904929,-0.0001,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162685.5180,664338.2580,4770530.1970,-0.1300,0.8150,0.0000,-0.346,2.169,0.000,0.85043316756,0.15825904929,-0.0001,2.359
3000,4162685.2220,664340.1130,4770530.1970,-0.4450,2.7880,0.0000,-0.263,1.649,0.000,0.061,-0.381,0.000,0.85043316755,0.15825949491,-0.0001,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162685.2220,664340.1130,4770530.1970,-0.4450,2.7880,0.0000,-0.263,1.649,0.000,0.85043316755,0.15825949491,-0.0001,2.359
4000,4162684.6580,664343.6450,4770530.1970,-0.6650,4.1680,0.0000,-0.167,1.048,0.000,0.117,-0.732,0.000,0.85043316759,0.15826034342,-0.0003,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162684.6580,664343.6450,4770530.1970,-0.6650,4.1680,0.0000,-0.167,1.048,0.000,0.85043316759,0.15826034342,-0.0003,2.359
5000,4162683.9270,664348.2250,4770530.1970,-0.7810,4.8950,0.0000,-0.075,0.471,0.000,0.064,-0.403,0.000,0.85043316759,0.15826144367,-0.0003,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162683.9270,664348.2250,4770530.1970,-0.7810,4.8950,0.0000,-0.075,0.471,0.000,0.85043316759,0.15826144367,-0.0003,2.359
6000,4162683.1170,664353.3030,4770530.1970,-0.8330,5.2190,0.0000,-0.034,0.214,0.000,0.028,-0.172,0.000,0.85043316754,0.15826266354,0.0000,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162683.1170,664353.3030,4770530.1970,-0.8330,5.2190,0.0000,-0.034,0.214,0.000,0.85043316754,0.15826266354,0.0000,2.360
7000,4162682.2700,664358.6060,4770530.1970,-0.8570,5.3670,0.0000,-0.016,0.097,0.000,0.013,-0.079,0.000,0.85043316762,0.15826393750,-0.0004,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162682.2700,664358.6060,4770530.1970,-0.8570,5.3670,0.0000,-0.016,0.097,0.000,0.85043316762,0.15826393750,-0.0004,2.360
8000,4162681.4080,664364.0110,4770530.1970,-0.8670,5.4340,0.0000,-0.007,0.043,0.000,0.006,-0.037,0.000,0.85043316755,0.15826523592,0.0000,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162681.4080,664364.0110,4770530.1970,-0.8670,5.4340,0.0000,-0.007,0.043,0.000,0.85043316755,0.15826523592,0.0000,2.360
9000,4162680.5380,664369.4610,4770530.1970,-0.8720,5.4640,0.0000,-0.003,0.019,0.000,0.003,-0.016,0.000,0.85043316757,0.15826654518,-0.0001,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162680.5380,664369.4610,4770530.1970,-0.8720,5.4640,0.0000,-0.003,0.019,0.000,0.85043316757,0.15826654518,-0.0001,2.360
10000,4162679.6650,664374.9320,4770530.1970,-0.8740,5.4760,0.0000,-0.001,0.008,0.000,0.001,-0.007,0.000,0.85043316755,0.15826785947,0.0000,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162679.6650,664374.9320,4770530.1970,-0.8740,5.4760,0.0000,-0.001,0.008,0.000,0.85043316755,0.15826785947,0.0000,2.360
11000,4162678.7900,664380.4120,4770530.1970,-0.8750,5.4820,0.0000,-0.001,0.004,0.000,0.000,-0.003,0.000,0.85043316759,0.15826917594,-0.0003,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162678.7900,664380.4120,4770530.1970,-0.8750,5.4820,0.0000,-0.001,0.004,0.000,0.85043316759,0.15826917594,-0.0003,2.360
12000,4162677.9150,664385.8950,4770530.1970,-0.8750,5.4840,0.0000,0.000,0.002,0.000,0.000,-0.001,0.000,0.85043316758,0.15827049312,-0.0002,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162677.9150,664385.8950,4770530.1970,-0.8750,5.4840,0.0000,0.000,0.002,0.000,0.85043316758,0.15827049312,-0.0002,2.360
13000,4162677.0400,664391.3800,4770530.1970,-0.8750,5.4850,0.0000,0.000,0.001,0.000,0.000,-0.001,0.000,0.85043316752,0.15827181076,0.0001,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162677.0400,664391.3800,4770530.1970,-0.8750,5.4850,0.0000,0.000,0.001,0.000,0.85043316752,0.15827181076,0.0001,2.360
14000,4162676.1640,664396.8660,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043316757,0.15827312868,-0.0002,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162676.1640,664396.8660,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.85043316757,0.15827312868,-0.0002,2.360
15000,4162675.2890,664402.3520,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043316750,0.15827444656,0.0002,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162675.2890,664402.3520,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.85043316750,0.15827444656,0.0002,2.360
16000,4162674.4130,664407.8380,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043316754,0.15827576448,0.0000,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162674.4130,664407.8380,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.85043316754,0.15827576448,0.0000,2.360
17000,4162673.5380,664413.3240,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043316747,0.15827708236,0.0004,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162673.5380,664413.3240,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.85043316747,0.15827708236,0.0004,2.360
18000,4162672.6620,664418.8100,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0.85043316751,0.15827840027,0.0002,1.571000000,0.000000000,0.000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,4162672.6620,664418.8100,4770530.1970,-0.8760,5.4860,0.0000,0.000,0.000,0.000,0.85043316751,0.15827840027,0.0002,2.361
