Build,GPS Time,Interval ms,Channels,SIR ms,Header rows,N_freqs
4,1246190400.0,1000,76,100,5,5
Group A,Group B,Group C,Group D,Group E
L1/E1/S/B1I,L2/E6/B2I,L5/E5/B2A,L6/B1C,B3I
Time_ms,Channel,Sat_type,Sat_ID,Sat_PRN,Echo_Num,Sat_Pos_X,Sat_Pos_Y,Sat_Pos_Z,Sat_Vel_X,Sat_Vel_Y,Sat_Vel_Z,Azimuth,Elevation,Range,P-Range Group A,P-Range Group B,P-Range Group C,P-Range Group D,P-Range Group E,P-R_rate,Iono_delay Group A,Iono_delay Group B,Iono_delay Group C,Iono_delay Group D,Iono_delay Group E,Tropo_delay,P-R_Error,Signal_dB Group A,Signal_dB Group B,Signal_dB Group C,Signal_dB Group D,Signal_dB Group E,Ant_azimuth,Ant_elevation,Range_rate,P-R_Error_rate,Doppler_shift Group A,Doppler_shift Group B,Doppler_shift Group C,Doppler_shift Group D,Doppler_shift Group E,Delta_range Group A,Delta_range Group B,Delta_range Group C,Delta_range Group D,Delta_range Group E,Sat_Acc_X,Sat_Acc_Y,Sat_Acc_Z
1000,1,GPS,7,7,0,-9128781.4662,-12568278.7091,21831785.6685,2357.704,-1332.945,173.486,-0.4505,0.1102,25354519.9220,25371571.6802,0.0000,0.0000,0.0000,0.0000,-423.5675,1.46982e-08,0,0,0,0,6.94374e-08,0.0000,10.146,0.000,0.000,0.000,0.000,-2.0215,0.1102,-423.5584,0.0000,2225.8624,0.0000,0.0000,0.0000,0.0000,-423.5993,0.0000,0.0000,0.0000,0.0000,-0.053825,-0.150301,-0.452379
1000,2,GPS,10,10,0,24094979.7453,10897427.3624,-3396208.5945,255.001,435.979,3129.446,2.8269,0.3381,23847601.3662,23848716.1506,0.0000,0.0000,0.0000,0.0000,-671.4823,1.75511e-08,0,0,0,0,2.46743e-08,0.0000,10.678,0.000,0.000,0.000,0.000,1.2559,0.3381,-671.4821,0.0000,3528.6634,0.0000,0.0000,0.0000,0.0000,-671.4918,0.0000,0.0000,0.0000,0.0000,-0.315078,-0.208451,0.071448
1000,3,GPS,21,21,0,13938839.3384,9154402.5806,21441430.2497,-2077.347,1478.075,764.105,1.1905,1.2141,21108606.9387,21157073.7032,0.0000,0.0000,0.0000,0.0000,235.8617,6.54874e-09,0,0,0,0,8.8239e-09,0.0000,11.738,0.000,0.000,0.000,0.000,-0.3805,1.2141,235.8659,0.0000,-1239.4617,0.0000,0.0000,0.0000,0.0000,235.8261,0.0000,0.0000,0.0000,0.0000,0.012521,0.169612,-0.426436
1000,4,GPS,29,29,0,4428042.7022,24634103.3702,8834553.9025,-253.634,1111.599,-2961.143,1.5858,0.2375,24313295.7791,24265056.6298,0.0000,0.0000,0.0000,0.0000,598.1694,1.77081e-08,0,0,0,0,3.44429e-08,0.0000,10.510,0.000,0.000,0.000,0.000,0.0148,0.2375,598.1613,0.0000,-3143.4016,0.0000,0.0000,0.0000,0.0000,598.1549,0.0000,0.0000,0.0000,0.0000,0.091269,-0.357161,-0.188370
1000,5,GPS,27,27,0,12073914.1742,-14884396.5014,18141437.5149,168.751,2331.937,1818.845,-1.2899,0.6663,21980260.4091,22032598.0577,0.0000,0.0000,0.0000,0.0000,-482.4319,8.62005e-09,0,0,0,0,1.33477e-08,0.0000,11.386,0.000,0.000,0.000,0.000,-2.8609,0.6663,-482.4348,0.0000,2535.1967,0.0000,0.0000,0.0000,0.0000,-482.4531,0.0000,0.0000,0.0000,0.0000,0.142480,0.219013,-0.393471
1000,6,GPS,16,16,0,16625582.9964,-4803550.0610,20084713.9104,2080.401,1517.112,-1304.979,-1.3698,1.1952,20487699.6325,20503629.7296,0.0000,0.0000,0.0000,0.0000,-114.8123,6.44798e-09,0,0,0,0,8.88781e-09,0.0000,11.997,0.000,0.000,0.000,0.000,-2.9408,1.1952,-114.8133,0.0000,603.3427,0.0000,0.0000,0.0000,0.0000,-114.8706,0.0000,0.0000,0.0000,0.0000,-0.045891,-0.226218,-0.429623
1000,7,GPS,26,26,0,23012656.1983,1523130.4238,13307371.3063,1379.348,1001.527,-2478.624,-2.8958,1.1361,20710784.0013,20638204.3805,0.0000,0.0000,0.0000,0.0000,275.2719,7.03858e-09,0,0,0,0,9.11513e-09,0.0000,11.903,0.000,0.000,0.000,0.000,1.8164,1.1361,275.2746,0.0000,-1446.5633,0.0000,0.0000,0.0000,0.0000,275.2164,0.0000,0.0000,0.0000,0.0000,-0.217443,-0.225225,-0.281021
1000,8,GPS,20,20,0,21680324.0682,14100526.2938,6302231.4477,-884.162,7.484,2960.018,2.4831,0.6826,22130181.2472,21972567.2990,0.0000,0.0000,0.0000,0.0000,-490.4635,1.05892e-08,0,0,0,0,1.30814e-08,0.0000,11.327,0.000,0.000,0.000,0.000,0.9121,0.6826,-490.4622,0.0000,2577.4030,0.0000,0.0000,0.0000,0.0000,-490.5048,0.0000,0.0000,0.0000,0.0000,-0.341808,-0.094076,-0.133214
2000,1,GPS,7,7,0,-9126423.7861,-12569611.7313,21831958.9282,2357.650,-1333.095,173.033,-0.4506,0.1103,25354096.4889,25371148.2379,0.0000,0.0000,0.0000,0.0000,-423.1246,1.4697e-08,0,0,0,0,6.94034e-08,0.0000,10.146,0.000,0.000,0.000,0.000,-2.0216,0.1103,-423.1154,0.0000,2223.5345,0.0000,0.0000,0.0000,0.0000,-423.4317,0.0000,0.0000,0.0000,0.0000,-0.053884,-0.150270,-0.452384
2000,2,GPS,10,10,0,24095234.5895,10897863.2377,-3393079.1060,254.686,435.770,3129.517,2.8268,0.3382,23846929.8411,23848044.6253,0.0000,0.0000,0.0000,0.0000,-671.6982,1.75477e-08,0,0,0,0,2.46658e-08,0.0000,10.678,0.000,0.000,0.000,0.000,1.2558,0.3382,-671.6980,0.0000,3529.7979,0.0000,0.0000,0.0000,0.0000,-671.5217,0.0000,0.0000,0.0000,0.0000,-0.315111,-0.208408,0.071382
2000,3,GPS,21,21,0,13936761.9989,9155880.7393,21442194.1410,-2077.335,1478.245,763.679,1.1903,1.2140,21108842.7780,21157309.5383,0.0000,0.0000,0.0000,0.0000,235.6642,6.54896e-09,0,0,0,0,8.82428e-09,0.0000,11.738,0.000,0.000,0.000,0.000,-0.3807,1.2140,235.6684,0.0000,-1238.4239,0.0000,0.0000,0.0000,0.0000,235.8349,0.0000,0.0000,0.0000,0.0000,0.012575,0.169589,-0.426446
2000,4,GPS,29,29,0,4427789.1147,24635214.7882,8831592.6711,-253.542,1111.242,-2961.331,1.5859,0.2374,24313893.7638,24265654.6227,0.0000,0.0000,0.0000,0.0000,597.3841,1.77114e-08,0,0,0,0,3.44568e-08,0.0000,10.510,0.000,0.000,0.000,0.000,0.0149,0.2374,597.3760,0.0000,-3139.2749,0.0000,0.0000,0.0000,0.0000,597.9877,0.0000,0.0000,0.0000,0.0000,0.091209,-0.357186,-0.188306
2000,5,GPS,27,27,0,12074082.9971,-14882064.4515,18143256.1661,168.894,2332.156,1818.451,-1.2898,0.6664,21979778.1409,22032115.7924,0.0000,0.0000,0.0000,0.0000,-481.7630,8.61917e-09,0,0,0,0,1.33457e-08,0.0000,11.386,0.000,0.000,0.000,0.000,-2.8608,0.6664,-481.7660,0.0000,2531.6818,0.0000,0.0000,0.0000,0.0000,-482.2644,0.0000,0.0000,0.0000,0.0000,0.142503,0.218948,-0.393511
2000,6,GPS,16,16,0,16627663.3753,-4802033.0619,20083408.7161,2080.355,1516.885,-1305.409,-1.3701,1.1953,20487584.9463,20503515.0444,0.0000,0.0000,0.0000,0.0000,-114.3984,6.44795e-09,0,0,0,0,8.88751e-09,0.0000,11.997,0.000,0.000,0.000,0.000,-2.9411,1.1953,-114.3994,0.0000,601.1675,0.0000,0.0000,0.0000,0.0000,-114.6851,0.0000,0.0000,0.0000,0.0000,-0.045957,-0.226240,-0.429594
2000,7,GPS,26,26,0,23014035.4362,1524131.8372,13304892.5446,1379.131,1001.302,-2478.905,-2.8959,1.1359,20711059.3505,20638479.7269,0.0000,0.0000,0.0000,0.0000,275.4665,7.03912e-09,0,0,0,0,9.11567e-09,0.0000,11.903,0.000,0.000,0.000,0.000,1.8163,1.1359,275.4692,0.0000,-1447.5864,0.0000,0.0000,0.0000,0.0000,275.3461,0.0000,0.0000,0.0000,0.0000,-0.217500,-0.225212,-0.280968
2000,8,GPS,20,20,0,21679439.7343,14100533.7310,6305191.4044,-884.503,7.390,2959.885,2.4830,0.6827,22129690.7363,21972076.7869,0.0000,0.0000,0.0000,0.0000,-490.7719,1.05877e-08,0,0,0,0,1.30795e-08,0.0000,11.327,0.000,0.000,0.000,0.000,0.9120,0.6827,-490.7707,0.0000,2579.0240,0.0000,0.0000,0.0000,0.0000,-490.5112,0.0000,0.0000,0.0000,0.0000,-0.341815,-0.094020,-0.133277
3000,1,GPS,7,7,0,-9124066.1599,-12570944.9038,21832131.7356,2357.596,-1333.246,172.581,-0.4507,0.1103,25353673.8723,25370725.6122,0.0000,0.0000,0.0000,0.0000,-422.1737,1.46958e-08,0,0,0,0,6.93695e-08,0.0000,10.146,0.000,0.000,0.000,0.000,-2.0217,0.1103,-422.1646,0.0000,2218.5379,0.0000,0.0000,0.0000,0.0000,-422.6152,0.0000,0.0000,0.0000,0.0000,-0.053942,-0.150239,-0.452391
3000,2,GPS,10,10,0,24095489.1185,10898298.9045,-3389949.5462,254.371,435.562,3129.589,2.8268,0.3383,23846257.8482,23847372.6321,0.0000,0.0000,0.0000,0.0000,-672.2565,1.75443e-08,0,0,0,0,2.46573e-08,0.0000,10.678,0.000,0.000,0.000,0.000,1.2558,0.3383,-672.2563,0.0000,3532.7317,0.0000,0.0000,0.0000,0.0000,-671.9896,0.0000,0.0000,0.0000,0.0000,-0.315145,-0.208370,0.071316
3000,3,GPS,21,21,0,13934684.6719,9157359.0675,21442957.6059,-2077.322,1478.414,763.252,1.1902,1.2139,21109078.1399,21157544.8960,0.0000,0.0000,0.0000,0.0000,235.0862,6.54917e-09,0,0,0,0,8.82465e-09,0.0000,11.737,0.000,0.000,0.000,0.000,-0.3808,1.2139,235.0904,0.0000,-1235.3863,0.0000,0.0000,0.0000,0.0000,235.3575,0.0000,0.0000,0.0000,0.0000,0.012631,0.169569,-0.426461
3000,4,GPS,29,29,0,4427535.6184,24636325.8490,8828631.2513,-253.451,1110.884,-2961.520,1.5860,0.2372,24314490.1247,24266250.9916,0.0000,0.0000,0.0000,0.0000,595.4591,1.77146e-08,0,0,0,0,3.44708e-08,0.0000,10.510,0.000,0.000,0.000,0.000,0.0150,0.2372,595.4510,0.0000,-3129.1586,0.0000,0.0000,0.0000,0.0000,596.3638,0.0000,0.0000,0.0000,0.0000,0.091162,-0.357217,-0.188243
3000,5,GPS,27,27,0,12074251.9624,-14879732.1827,18145074.4237,169.036,2332.375,1818.058,-1.2897,0.6666,21979297.1929,22031634.8474,0.0000,0.0000,0.0000,0.0000,-480.2089,8.61828e-09,0,0,0,0,1.33438e-08,0.0000,11.386,0.000,0.000,0.000,0.000,-2.8607,0.6666,-480.2118,0.0000,2523.5149,0.0000,0.0000,0.0000,0.0000,-480.9442,0.0000,0.0000,0.0000,0.0000,0.142533,0.218891,-0.393553
